Version,Chiplet,Base Address,Chiplet Id - range,Bit Mask,User,Register name,Description/Usage,Type
,MC23,801233D,0x08,,,CCS Array 1 registers,,read_denylist
,MC23,801233E,0x08,,,CCS Array 1 registers,,read_denylist
,MC23,801233F,0x08,,,CCS Array 1 registers,,read_denylist
,MC23,8012340,0x08,,,CCS Array 1 registers,,read_denylist
,MC23,8012341,0x08,,,CCS Array 1 registers,,read_denylist
,MC23,8012342,0x08,,,CCS Array 1 registers,,read_denylist
,MC23,8012343,0x08,,,CCS Array 1 registers,,read_denylist
,MC23,8012344,0x08,,,CCS Array 1 registers,,read_denylist
,MC23,8012345,0x08,,,CCS Array 1 registers,,read_denylist
,MC23,8012346,0x08,,,CCS Array 1 registers,,read_denylist
,MC23,8012347,0x08,,,CCS Array 1 registers,,read_denylist
,MC23,8012348,0x08,,,CCS Array 1 registers,,read_denylist
,MC23,8012349,0x08,,,CCS Array 1 registers,,read_denylist
,MC23,801234A,0x08,,,CCS Array 1 registers,,read_denylist
,MC23,801234B,0x08,,,CCS Array 1 registers,,read_denylist
,MC23,801234C,0x08,,,CCS Array 1 registers,,read_denylist
,MC23,801234D,0x08,,,CCS Array 1 registers,,read_denylist
,MC23,801234E,0x08,,,CCS Array 1 registers,,read_denylist
,MC23,801234F,0x08,,,CCS Array 1 registers,,read_denylist
,MC23,8012350,0x08,,,CCS Array 1 registers,,read_denylist
,MC23,8012351,0x08,,,CCS Array 1 registers,,read_denylist
,MC23,8012352,0x08,,,CCS Array 1 registers,,read_denylist
,MC23,8012353,0x08,,,CCS Array 1 registers,,read_denylist
,MC23,8012354,0x08,,,CCS Array 1 registers,,read_denylist
,MC23,801093C,0x08,,,Port 0 Performance Monitor Count register,,read_denylist
,MC23,801097C,0x08,,,Port 1 Performance Monitor Count register,,read_denylist
,MC23,80109BC,0x08,,,Port 2 Performance Monitor Count register,,read_denylist
,MC23,80109FC,0x08,,,Port 3 Performance Monitor Count register,,read_denylist
,MC23,8010A2A,0x08,,,Port 0 Array Access Data Register,,read_denylist
,MC23,8010A6A,0x08,,,Port 1 Array Access Data Register,,read_denylist
,MC23,8010AAA,0x08,,,Port 2 Array Access Data Register,,read_denylist
,MC23,8010AEA,0x08,,,Port 3 Array Access Data Register,,read_denylist
